"","Language","Popular"
"1","C",TRUE
"2","C#",TRUE
"3","C++",TRUE
"4","Clojure",TRUE
"5","CoffeeScript",TRUE
"6","CSS",TRUE
"7","Go",TRUE
"8","Haskell",TRUE
"9","HTML",TRUE
"10","Java",TRUE
"11","JavaScript",TRUE
"12","Lua",TRUE
"13","Matlab",TRUE
"14","Objective-C",TRUE
"15","Perl",TRUE
"16","PHP",TRUE
"17","Python",TRUE
"18","R",TRUE
"19","Ruby",TRUE
"20","Scala",TRUE
"21","Shell",TRUE
"22","Swift",TRUE
"23","TeX",TRUE
"24","VimL",TRUE
"25","1C Enterprise",FALSE
"26","ABAP",FALSE
"27","Ada",FALSE
"28","Agda",FALSE
"29","AGS Script",FALSE
"30","Alloy",FALSE
"31","Alpine Abuild",FALSE
"32","AMPL",FALSE
"33","Ant Build System",FALSE
"34","ANTLR",FALSE
"35","ApacheConf",FALSE
"36","Apex",FALSE
"37","API Blueprint",FALSE
"38","APL",FALSE
"39","Apollo Guidance Computer",FALSE
"40","AppleScript",FALSE
"41","Arc",FALSE
"42","Arduino",FALSE
"43","AsciiDoc",FALSE
"44","ASN.1",FALSE
"45","ASP",FALSE
"46","AspectJ",FALSE
"47","Assembly",FALSE
"48","ATS",FALSE
"49","Augeas",FALSE
"50","AutoHotkey",FALSE
"51","AutoIt",FALSE
"52","Awk",FALSE
"53","Batchfile",FALSE
"54","Befunge",FALSE
"55","Bison",FALSE
"56","BitBake",FALSE
"57","Blade",FALSE
"58","BlitzBasic",FALSE
"59","BlitzMax",FALSE
"60","Bluespec",FALSE
"61","Boo",FALSE
"62","Brainfuck",FALSE
"63","Brightscript",FALSE
"64","Bro",FALSE
"65","C-ObjDump",FALSE
"66","C2hs Haskell",FALSE
"67","Cap&#39;n Proto",FALSE
"68","CartoCSS",FALSE
"69","Ceylon",FALSE
"70","Chapel",FALSE
"71","Charity",FALSE
"72","ChucK",FALSE
"73","Cirru",FALSE
"74","Clarion",FALSE
"75","Clean",FALSE
"76","Click",FALSE
"77","CLIPS",FALSE
"78","CMake",FALSE
"79","COBOL",FALSE
"80","ColdFusion",FALSE
"81","ColdFusion CFC",FALSE
"82","COLLADA",FALSE
"83","Common Lisp",FALSE
"84","Component Pascal",FALSE
"85","Cool",FALSE
"86","Coq",FALSE
"87","Cpp-ObjDump",FALSE
"88","Creole",FALSE
"89","Crystal",FALSE
"90","Csound",FALSE
"91","Csound Document",FALSE
"92","Csound Score",FALSE
"93","CSV",FALSE
"94","Cucumber",FALSE
"95","Cuda",FALSE
"96","Cycript",FALSE
"97","Cython",FALSE
"98","D",FALSE
"99","D-ObjDump",FALSE
"100","Darcs Patch",FALSE
"101","Dart",FALSE
"102","desktop",FALSE
"103","Diff",FALSE
"104","DIGITAL Command Language",FALSE
"105","DM",FALSE
"106","DNS Zone",FALSE
"107","Dockerfile",FALSE
"108","Dogescript",FALSE
"109","DTrace",FALSE
"110","Dylan",FALSE
"111","E",FALSE
"112","Eagle",FALSE
"113","eC",FALSE
"114","Ecere Projects",FALSE
"115","ECL",FALSE
"116","ECLiPSe",FALSE
"117","edn",FALSE
"118","Eiffel",FALSE
"119","EJS",FALSE
"120","Elixir",FALSE
"121","Elm",FALSE
"122","Emacs Lisp",FALSE
"123","EmberScript",FALSE
"124","EQ",FALSE
"125","Erlang",FALSE
"126","F#",FALSE
"127","Factor",FALSE
"128","Fancy",FALSE
"129","Fantom",FALSE
"130","Filterscript",FALSE
"131","fish",FALSE
"132","FLUX",FALSE
"133","Formatted",FALSE
"134","Forth",FALSE
"135","FORTRAN",FALSE
"136","FreeMarker",FALSE
"137","Frege",FALSE
"138","G-code",FALSE
"139","Game Maker Language",FALSE
"140","GAMS",FALSE
"141","GAP",FALSE
"142","GAS",FALSE
"143","GCC Machine Description",FALSE
"144","GDB",FALSE
"145","GDScript",FALSE
"146","Genshi",FALSE
"147","Gentoo Ebuild",FALSE
"148","Gentoo Eclass",FALSE
"149","Gettext Catalog",FALSE
"150","GLSL",FALSE
"151","Glyph",FALSE
"152","Gnuplot",FALSE
"153","Golo",FALSE
"154","Gosu",FALSE
"155","Grace",FALSE
"156","Gradle",FALSE
"157","Grammatical Framework",FALSE
"158","Graph Modeling Language",FALSE
"159","GraphQL",FALSE
"160","Graphviz (DOT)",FALSE
"161","Groff",FALSE
